transaction_id,material_id,material_description,material_category,industry_segment,uom,quantity,unit_price,order_value,supplier_id,supplier_name,supplier_country,supplier_quality_tier,source_system,timestamp,created_by,regulatory_flag,criticality_level,is_hazmat,requires_cold_chain,po_number,has_error,correct_uom,error_type
TX00001,MAT0001,Material 1,CHEMICAL,PHARMA,KG,835,2934,35176,SUP246,Supplier1,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000001,0,KG,
TX00002,MAT0002,Material 2,CHEMICAL,PHARMA,L,4771,3792,3558600,SUP610,Supplier2,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000002,1,KG,UOM_MISMATCH
TX00003,MAT0003,Material 3,CHEMICAL,PHARMA,ML,3951,4858,2301519,SUP542,Supplier3,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000003,0,ML,
TX00004,MAT0004,Material 4,CHEMICAL,PHARMA,KG,7355,2504,3317492,SUP551,Supplier4,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000004,0,KG,
TX00005,MAT0005,Material 5,CHEMICAL,PHARMA,PC,7115,4477,3928830,SUP674,Supplier5,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000005,1,KG,UOM_MISMATCH
TX00006,MAT0006,Material 6,CHEMICAL,PHARMA,ML,2989,3172,3992984,SUP680,Supplier6,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000006,0,ML,
TX00007,MAT0007,Material 7,CHEMICAL,PHARMA,BX,5622,3166,4232703,SUP287,Supplier7,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000007,0,BX,
TX00008,MAT0008,Material 8,CHEMICAL,PHARMA,KG,8280,4664,3908389,SUP543,Supplier8,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000008,1,KG,UOM_MISMATCH
TX00009,MAT0009,Material 9,CHEMICAL,PHARMA,KG,2873,404,2295827,SUP191,Supplier9,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000009,1,KG,UOM_MISMATCH
TX00010,MAT0010,Material 10,CHEMICAL,PHARMA,PC,1957,4439,4194353,SUP943,Supplier10,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000010,1,KG,UOM_MISMATCH
TX00011,MAT0011,Material 11,CHEMICAL,PHARMA,KG,7084,4831,2622586,SUP498,Supplier11,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000011,0,KG,
TX00012,MAT0012,Material 12,CHEMICAL,PHARMA,PC,6244,1239,3615727,SUP424,Supplier12,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000012,1,KG,UOM_MISMATCH
TX00013,MAT0013,Material 13,CHEMICAL,PHARMA,L,7485,218,3354646,SUP308,Supplier13,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000013,0,L,
TX00014,MAT0014,Material 14,CHEMICAL,PHARMA,ML,9140,1840,1968751,SUP268,Supplier14,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000014,1,KG,UOM_MISMATCH
TX00015,MAT0015,Material 15,CHEMICAL,PHARMA,KG,1905,4681,4080397,SUP439,Supplier15,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000015,1,KG,UOM_MISMATCH
TX00016,MAT0016,Material 16,CHEMICAL,PHARMA,PC,4906,709,2750288,SUP220,Supplier16,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000016,1,KG,UOM_MISMATCH
TX00017,MAT0017,Material 17,CHEMICAL,PHARMA,ML,3785,2096,1487992,SUP336,Supplier17,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000017,0,ML,
TX00018,MAT0018,Material 18,CHEMICAL,PHARMA,ML,4288,4269,1107193,SUP501,Supplier18,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000018,1,KG,UOM_MISMATCH
TX00019,MAT0019,Material 19,CHEMICAL,PHARMA,ML,1088,557,4621867,SUP665,Supplier19,USA,A,SAPDEV,2025-10-11 15:56:32,julie.mirambo@milliporesigma.com,FALSE,MEDIUM,FALSE,FALSE,PO000019,1,KG,UOM_MISMATCH
